Metric,Value
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.221422
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.221422
timing__hold__ws__corner:min_tt_025C_1v80,1.937
timing__setup__ws__corner:min_tt_025C_1v80,2.402465
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0.0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_nets__count__corner:min_tt_025C_1v80,33
timing__unannotated_nets_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,5042
design__max_fanout_violation__count__corner:min_ss_100C_1v60,130
design__max_cap_violation__count__corner:min_ss_100C_1v60,17
clock__skew__worst_hold__corner:min_ss_100C_1v60,0.416388
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.416388
timing__hold__ws__corner:min_ss_100C_1v60,1.047587
timing__setup__ws__corner:min_ss_100C_1v60,0.304106
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0.0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_nets__count__corner:min_ss_100C_1v60,33
timing__unannotated_nets_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,130
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,0.167338
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.167338
timing__hold__ws__corner:min_ff_n40C_1v95,2.314797
timing__setup__ws__corner:min_ff_n40C_1v95,3.251796
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0.0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_nets__count__corner:min_ff_n40C_1v95,33
timing__unannotated_nets_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,3966
design__max_fanout_violation__count__corner:max_tt_025C_1v80,130
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,0.222302
